Consumption (kwh), Estimated Cost Inc. Tax (p), Standing Charge Inc. Tax (p), Start, End
1.294000, 30.94, 1.04, 2025-02-01T00:00:00+00:00, 2025-02-01T00:30:00+00:00
1.286000, 35.12, 1.04, 2025-02-01T00:30:00+00:00, 2025-02-01T01:00:00+00:00
1.276000, 32.95, 1.04, 2025-02-01T01:00:00+00:00, 2025-02-01T01:30:00+00:00
1.285000, 29.47, 1.04, 2025-02-01T01:30:00+00:00, 2025-02-01T02:00:00+00:00
1.283000, 28.86, 1.04, 2025-02-01T02:00:00+00:00, 2025-02-01T02:30:00+00:00
1.266000, 28.19, 1.04, 2025-02-01T02:30:00+00:00, 2025-02-01T03:00:00+00:00
1.281000, 28.53, 1.04, 2025-02-01T03:00:00+00:00, 2025-02-01T03:30:00+00:00
1.285000, 28.33, 1.04, 2025-02-01T03:30:00+00:00, 2025-02-01T04:00:00+00:00
1.130000, 25.17, 1.04, 2025-02-01T04:00:00+00:00, 2025-02-01T04:30:00+00:00
0.306000, 6.81, 1.04, 2025-02-01T04:30:00+00:00, 2025-02-01T05:00:00+00:00
0.211000, 4.75, 1.04, 2025-02-01T05:00:00+00:00, 2025-02-01T05:30:00+00:00
0.225000, 5.02, 1.04, 2025-02-01T05:30:00+00:00, 2025-02-01T06:00:00+00:00
0.198000, 4.98, 1.04, 2025-02-01T06:00:00+00:00, 2025-02-01T06:30:00+00:00
0.211000, 5.72, 1.04, 2025-02-01T06:30:00+00:00, 2025-02-01T07:00:00+00:00
0.236000, 6.74, 1.04, 2025-02-01T07:00:00+00:00, 2025-02-01T07:30:00+00:00
0.232000, 6.91, 1.04, 2025-02-01T07:30:00+00:00, 2025-02-01T08:00:00+00:00
0.010000, 0.29, 1.04, 2025-02-01T08:00:00+00:00, 2025-02-01T08:30:00+00:00
0.011000, 0.33, 1.04, 2025-02-01T08:30:00+00:00, 2025-02-01T09:00:00+00:00
0.002000, 0.05, 1.04, 2025-02-01T09:00:00+00:00, 2025-02-01T09:30:00+00:00
0.003000, 0.08, 1.04, 2025-02-01T09:30:00+00:00, 2025-02-01T10:00:00+00:00
0.002000, 0.05, 1.04, 2025-02-01T10:00:00+00:00, 2025-02-01T10:30:00+00:00
0.001000, 0.02, 1.04, 2025-02-01T10:30:00+00:00, 2025-02-01T11:00:00+00:00
0.058000, 1.39, 1.04, 2025-02-01T11:00:00+00:00, 2025-02-01T11:30:00+00:00
0.004000, 0.1, 1.04, 2025-02-01T11:30:00+00:00, 2025-02-01T12:00:00+00:00
0.041000, 0.95, 1.04, 2025-02-01T12:00:00+00:00, 2025-02-01T12:30:00+00:00
0.017000, 0.39, 1.04, 2025-02-01T12:30:00+00:00, 2025-02-01T13:00:00+00:00
0.001000, 0.02, 1.04, 2025-02-01T13:00:00+00:00, 2025-02-01T13:30:00+00:00
0.002000, 0.05, 1.04, 2025-02-01T13:30:00+00:00, 2025-02-01T14:00:00+00:00
0.002000, 0.04, 1.04, 2025-02-01T14:00:00+00:00, 2025-02-01T14:30:00+00:00
0.004000, 0.09, 1.04, 2025-02-01T14:30:00+00:00, 2025-02-01T15:00:00+00:00
0.004000, 0.1, 1.04, 2025-02-01T15:00:00+00:00, 2025-02-01T15:30:00+00:00
0.001000, 0.03, 1.04, 2025-02-01T15:30:00+00:00, 2025-02-01T16:00:00+00:00
0.003000, 0.12, 1.04, 2025-02-01T16:00:00+00:00, 2025-02-01T16:30:00+00:00
0.002000, 0.08, 1.04, 2025-02-01T16:30:00+00:00, 2025-02-01T17:00:00+00:00
0.002000, 0.09, 1.04, 2025-02-01T17:00:00+00:00, 2025-02-01T17:30:00+00:00
0.002000, 0.09, 1.04, 2025-02-01T17:30:00+00:00, 2025-02-01T18:00:00+00:00
0.002000, 0.09, 1.04, 2025-02-01T18:00:00+00:00, 2025-02-01T18:30:00+00:00
0.011000, 0.46, 1.04, 2025-02-01T18:30:00+00:00, 2025-02-01T19:00:00+00:00
0.002000, 0.06, 1.04, 2025-02-01T19:00:00+00:00, 2025-02-01T19:30:00+00:00
0.353000, 9.34, 1.04, 2025-02-01T19:30:00+00:00, 2025-02-01T20:00:00+00:00
1.165000, 30.41, 1.04, 2025-02-01T20:00:00+00:00, 2025-02-01T20:30:00+00:00
1.365000, 32.72, 1.04, 2025-02-01T20:30:00+00:00, 2025-02-01T21:00:00+00:00
0.364000, 9.63, 1.04, 2025-02-01T21:00:00+00:00, 2025-02-01T21:30:00+00:00
0.718000, 17.87, 1.04, 2025-02-01T21:30:00+00:00, 2025-02-01T22:00:00+00:00
0.547000, 13.89, 1.04, 2025-02-01T22:00:00+00:00, 2025-02-01T22:30:00+00:00
0.387000, 8.26, 1.04, 2025-02-01T22:30:00+00:00, 2025-02-01T23:00:00+00:00
0.205000, 4.83, 1.04, 2025-02-01T23:00:00+00:00, 2025-02-01T23:30:00+00:00
0.157000, 3.65, 1.04, 2025-02-01T23:30:00+00:00, 2025-02-02T00:00:00+00:00
1.231000, 27.47, 1.04, 2025-02-02T00:00:00+00:00, 2025-02-02T00:30:00+00:00
1.228000, 31.14, 1.04, 2025-02-02T00:30:00+00:00, 2025-02-02T01:00:00+00:00
1.225000, 29.34, 1.04, 2025-02-02T01:00:00+00:00, 2025-02-02T01:30:00+00:00
1.230000, 27.2, 1.04, 2025-02-02T01:30:00+00:00, 2025-02-02T02:00:00+00:00
1.195000, 27.24, 1.04, 2025-02-02T02:00:00+00:00, 2025-02-02T02:30:00+00:00
1.214000, 26.5, 1.04, 2025-02-02T02:30:00+00:00, 2025-02-02T03:00:00+00:00
1.198000, 26.5, 1.04, 2025-02-02T03:00:00+00:00, 2025-02-02T03:30:00+00:00
1.227000, 26.51, 1.04, 2025-02-02T03:30:00+00:00, 2025-02-02T04:00:00+00:00
1.101000, 24.47, 1.04, 2025-02-02T04:00:00+00:00, 2025-02-02T04:30:00+00:00
0.275000, 5.96, 1.04, 2025-02-02T04:30:00+00:00, 2025-02-02T05:00:00+00:00
0.222000, 4.9, 1.04, 2025-02-02T05:00:00+00:00, 2025-02-02T05:30:00+00:00
0.200000, 4.41, 1.04, 2025-02-02T05:30:00+00:00, 2025-02-02T06:00:00+00:00
0.225000, 5.42, 1.04, 2025-02-02T06:00:00+00:00, 2025-02-02T06:30:00+00:00
0.203000, 4.79, 1.04, 2025-02-02T06:30:00+00:00, 2025-02-02T07:00:00+00:00
0.244000, 5.7, 1.04, 2025-02-02T07:00:00+00:00, 2025-02-02T07:30:00+00:00
0.208000, 5.05, 1.04, 2025-02-02T07:30:00+00:00, 2025-02-02T08:00:00+00:00
0.009000, 0.21, 1.04, 2025-02-02T08:00:00+00:00, 2025-02-02T08:30:00+00:00
0.054000, 1.49, 1.04, 2025-02-02T08:30:00+00:00, 2025-02-02T09:00:00+00:00
0.002000, 0.05, 1.04, 2025-02-02T09:00:00+00:00, 2025-02-02T09:30:00+00:00
0.003000, 0.08, 1.04, 2025-02-02T09:30:00+00:00, 2025-02-02T10:00:00+00:00
0.003000, 0.08, 1.04, 2025-02-02T10:00:00+00:00, 2025-02-02T10:30:00+00:00
0.108000, 2.76, 1.04, 2025-02-02T10:30:00+00:00, 2025-02-02T11:00:00+00:00
